"Date","Year","Month","Quarter","Week","DayName","DayOfWeek","Season","DayType","YearMonth"
"2010-12-01",2010,12,4,48,"Wednesday",4,"Winter","Weekday","2010-12"
"2010-12-02",2010,12,4,48,"Thursday",5,"Winter","Weekday","2010-12"
"2010-12-03",2010,12,4,48,"Friday",6,"Winter","Weekday","2010-12"
"2010-12-05",2010,12,4,49,"Sunday",1,"Winter","Weekend","2010-12"
"2010-12-06",2010,12,4,49,"Monday",2,"Winter","Weekday","2010-12"
"2010-12-07",2010,12,4,49,"Tuesday",3,"Winter","Weekday","2010-12"
"2010-12-08",2010,12,4,49,"Wednesday",4,"Winter","Weekday","2010-12"
"2010-12-09",2010,12,4,49,"Thursday",5,"Winter","Weekday","2010-12"
"2010-12-10",2010,12,4,49,"Friday",6,"Winter","Weekday","2010-12"
"2010-12-12",2010,12,4,50,"Sunday",1,"Winter","Weekend","2010-12"
"2010-12-13",2010,12,4,50,"Monday",2,"Winter","Weekday","2010-12"
"2010-12-14",2010,12,4,50,"Tuesday",3,"Winter","Weekday","2010-12"
"2010-12-15",2010,12,4,50,"Wednesday",4,"Winter","Weekday","2010-12"
"2010-12-16",2010,12,4,50,"Thursday",5,"Winter","Weekday","2010-12"
"2010-12-17",2010,12,4,50,"Friday",6,"Winter","Weekday","2010-12"
"2010-12-19",2010,12,4,51,"Sunday",1,"Winter","Weekend","2010-12"
"2010-12-20",2010,12,4,51,"Monday",2,"Winter","Weekday","2010-12"
"2010-12-21",2010,12,4,51,"Tuesday",3,"Winter","Weekday","2010-12"
"2010-12-22",2010,12,4,51,"Wednesday",4,"Winter","Weekday","2010-12"
"2010-12-23",2010,12,4,51,"Thursday",5,"Winter","Weekday","2010-12"
"2011-01-04",2011,1,1,1,"Tuesday",3,"Winter","Weekday","2011-01"
"2011-01-05",2011,1,1,1,"Wednesday",4,"Winter","Weekday","2011-01"
"2011-01-06",2011,1,1,1,"Thursday",5,"Winter","Weekday","2011-01"
"2011-01-07",2011,1,1,1,"Friday",6,"Winter","Weekday","2011-01"
"2011-01-09",2011,1,1,2,"Sunday",1,"Winter","Weekend","2011-01"
"2011-01-10",2011,1,1,2,"Monday",2,"Winter","Weekday","2011-01"
"2011-01-11",2011,1,1,2,"Tuesday",3,"Winter","Weekday","2011-01"
"2011-01-12",2011,1,1,2,"Wednesday",4,"Winter","Weekday","2011-01"
"2011-01-13",2011,1,1,2,"Thursday",5,"Winter","Weekday","2011-01"
"2011-01-14",2011,1,1,2,"Friday",6,"Winter","Weekday","2011-01"
"2011-01-16",2011,1,1,3,"Sunday",1,"Winter","Weekend","2011-01"
"2011-01-17",2011,1,1,3,"Monday",2,"Winter","Weekday","2011-01"
"2011-01-18",2011,1,1,3,"Tuesday",3,"Winter","Weekday","2011-01"
"2011-01-19",2011,1,1,3,"Wednesday",4,"Winter","Weekday","2011-01"
"2011-01-20",2011,1,1,3,"Thursday",5,"Winter","Weekday","2011-01"
"2011-01-21",2011,1,1,3,"Friday",6,"Winter","Weekday","2011-01"
"2011-01-23",2011,1,1,4,"Sunday",1,"Winter","Weekend","2011-01"
"2011-01-24",2011,1,1,4,"Monday",2,"Winter","Weekday","2011-01"
