"CustomerID","Country","PurchaseCount","LifetimeValue","AvgOrderValue","CustomerSegment"
"14096","United Kingdom",17,33332.45,6.52,"VIP"
"14911","EIRE",201,26185.72,4.61,"VIP"
"17841","United Kingdom",124,19848.49,2.53,"VIP"
"12744","Singapore",7,12949.99,58.33,"Regular"
"12748","United Kingdom",209,12205.6,2.66,"VIP"
"12536","France",3,9070.93,34.75,"Occasional"
"16029","United Kingdom",63,8722.39,36.04,"VIP"
"14606","United Kingdom",93,7595.75,2.81,"VIP"
"15311","United Kingdom",91,5961.86,2.51,"VIP"
"14156","EIRE",55,5357.68,3.83,"VIP"
"14527","United Kingdom",55,5207.7,5.36,"VIP"
"14646","Netherlands",73,5176.09,2.49,"VIP"
"13089","United Kingdom",97,4977.35,2.74,"VIP"
"15039","United Kingdom",47,4757.67,3.17,"VIP"
"12757","Portugal",13,4419.59,11.91,"VIP"
"15502","United Kingdom",12,4193.96,19.69,"VIP"
"16033","United Kingdom",20,3803.64,3.35,"VIP"
"13263","United Kingdom",35,3760.47,2.24,"VIP"
"14088","United Kingdom",13,3375.38,5.73,"VIP"
"15581","United Kingdom",13,3360.2,22.55,"VIP"
"18118","United Kingdom",26,3234.33,2.53,"VIP"
"14056","United Kingdom",23,3126.45,2.83,"VIP"
"14769","United Kingdom",8,2955.72,2.71,"Regular"
"15005","United Kingdom",28,2597.4,2.32,"VIP"
"17675","United Kingdom",31,2494.77,3.54,"VIP"
"14298","United Kingdom",44,2452.19,1.5,"VIP"
"13081","United Kingdom",11,2355.4,2.3,"VIP"
"17811","United Kingdom",39,2319.55,2.73,"VIP"
"14505","United Kingdom",8,2307.71,2.89,"Regular"
"14796","United Kingdom",17,2237.58,1.96,"VIP"
"14180","United Kingdom",25,2234.69,9.31,"VIP"
"17511","United Kingdom",31,2221.28,2.31,"VIP"
"18109","United Kingdom",26,2189.03,4.93,"VIP"
"15023","United Kingdom",11,2147.48,3.82,"VIP"
"12359","Cyprus",4,2137.86,8.62,"Occasional"
"15044","United Kingdom",17,2098.69,4.63,"VIP"
"12415","Australia",21,2097.08,2.94,"VIP"
"17338","United Kingdom",8,2092.92,2.78,"Regular"
"16923","United Kingdom",19,2088.92,3.11,"VIP"
"14895","United Kingdom",20,2073.61,4.16,"VIP"
"15719","United Kingdom",13,2061.92,2.2,"VIP"
"17757","United Kingdom",30,2036.83,2.75,"VIP"
"17846","United Kingdom",1,2033.1,2033.1,"Occasional"
"15159","United Kingdom",30,2019.75,2.84,"VIP"
"12681","France",22,2011.56,3.15,"VIP"
"16549","United Kingdom",10,1997.69,2.04,"VIP"
"12471","Germany",30,1978.17,4.3,"VIP"
"12682","France",31,1968.83,3.75,"VIP"
"14194","United Kingdom",21,1961.24,3.39,"VIP"
"16904","United Kingdom",16,1950.26,2.75,"VIP"
"18102","United Kingdom",60,1940.92,4.5,"VIP"
"16713","United Kingdom",15,1920.51,3.08,"VIP"
"17940","United Kingdom",10,1872.05,98.53,"VIP"
"16931","United Kingdom",21,1853.8,2.06,"VIP"
"13969","United Kingdom",18,1849.39,2.95,"VIP"
"12540","Spain",17,1838.89,3.85,"VIP"
"15547","United Kingdom",14,1827.52,2.6,"VIP"
"17139","United Kingdom",12,1799.41,3.76,"VIP"
"14159","United Kingdom",11,1797.86,1.49,"VIP"
"13097","United Kingdom",10,1795.26,4.24,"VIP"
"14667","United Kingdom",25,1783.92,3.11,"VIP"
"14415","United Kingdom",13,1741.07,2.95,"VIP"
"14456","United Kingdom",9,1722.49,1.78,"Regular"
"14534","United Kingdom",18,1719.76,3.31,"VIP"
"14711","United Kingdom",11,1697.92,4.76,"VIP"
"12921","United Kingdom",37,1684.94,2.34,"VIP"
"17243","United Kingdom",26,1679.21,4.2,"VIP"
"16764","United Kingdom",13,1667.62,2.36,"VIP"
"14367","United Kingdom",16,1664.08,3.18,"VIP"
"15498","United Kingdom",27,1627.55,3.18,"VIP"
"17920","United Kingdom",17,1623.75,2.33,"VIP"
"17706","United Kingdom",17,1606.49,4.21,"VIP"
"16686","United Kingdom",7,1598.34,2.73,"Regular"
"16326","United Kingdom",14,1580.64,4.95,"VIP"
"13098","United Kingdom",28,1578.79,2.76,"VIP"
"15867","United Kingdom",15,1574.61,3.42,"VIP"
"13319","United Kingdom",26,1558.41,3.27,"VIP"
"15555","United Kingdom",16,1525.31,1.7,"VIP"
"17238","United Kingdom",17,1521.56,2.69,"VIP"
"12567","France",10,1520.18,3.41,"VIP"
"17735","United Kingdom",19,1512.8,2.19,"VIP"
"16360","United Kingdom",6,1508.54,2.28,"Regular"
"16161","United Kingdom",19,1508.29,3.18,"VIP"
"14502","United Kingdom",11,1484.48,2.38,"VIP"
"17231","United Kingdom",10,1483.67,2.74,"VIP"
"14562","United Kingdom",18,1479.72,3.5,"VIP"
"16241","United Kingdom",13,1469.64,2.22,"VIP"
"13230","United Kingdom",14,1465.82,2.4,"VIP"
"13488","United Kingdom",13,1463.04,3.47,"VIP"
"17690","United Kingdom",15,1461.19,5.71,"VIP"
"17611","United Kingdom",15,1456.87,2.53,"VIP"
"18055","United Kingdom",10,1447.76,4.02,"VIP"
"16984","United Kingdom",2,1425.53,3.5,"Occasional"
"13078","United Kingdom",26,1416.76,3.96,"VIP"
"16729","United Kingdom",21,1408.73,2.13,"VIP"
