StockCode,ProductName,Category,PriceSegment
10002,"INFLATABLE POLITICAL GLOBE ",Other,Budget
10080,"GROOVY CACTUS INFLATABLE",Other,Budget
10120,"DOGGY RUBBER",Other,Budget
10123C,"HEARTS WRAPPING TAPE ",Other,Budget
10124A,"SPOTS ON RED BOOKCOVER TAPE",Other,Budget
10124G,"ARMY CAMO BOOKCOVER TAPE",Other,Budget
10125,"MINI FUNKY DESIGN TAPES",Other,Budget
10133,"COLOURING PENCILS BROWN TUBE",Other,Budget
10135,"COLOURING PENCILS BROWN TUBE",Other,Budget
11001,"ASSTD DESIGN RACING CAR PEN",Other,Budget
15030,"FAN BLACK FRAME ",Other,Budget
15034,"PAPER POCKET TRAVELING FAN ",Other,Budget
15036,"ASSORTED COLOURS SILK FAN",Other,Budget
15039,"SANDALWOOD FAN",Other,Budget
15044A,"PINK PAPER PARASOL ",Other,Budget
15044A,"PINK PAPER PARASOL ",Other,Standard
15044B,"BLUE PAPER PARASOL ",Other,Budget
15044C,"PURPLE PAPER PARASOL",Other,Budget
15044D,"RED PAPER PARASOL",Other,Budget
15044D,"RED PAPER PARASOL",Other,Standard
15056BL,"EDWARDIAN PARASOL BLACK",Other,Budget
15056BL,"EDWARDIAN PARASOL BLACK",Other,Standard
15056N,"EDWARDIAN PARASOL NATURAL",Other,Budget
15056N,"EDWARDIAN PARASOL NATURAL",Other,Standard
15056P,"EDWARDIAN PARASOL PINK",Other,Budget
15056P,"EDWARDIAN PARASOL PINK",Other,Standard
15058A,"BLUE POLKADOT GARDEN PARASOL",Other,Standard
15058B,"PINK POLKADOT GARDEN PARASOL",Other,Standard
15058C,"ICE CREAM DESIGN GARDEN PARASOL",Other,Budget
15058C,"ICE CREAM DESIGN GARDEN PARASOL",Other,Standard
15060B,"FAIRY CAKE DESIGN UMBRELLA",Other,Budget
15060B,"FAIRY CAKE DESIGN UMBRELLA",Other,Standard
16008,"SMALL FOLDING SCISSOR(POINTED EDGE)",Other,Budget
16010,"FOLDING CAMPING SCISSOR W/KNIF & S",Other,Budget
16011,"ANIMAL STICKERS",Other,Budget
16012,"FOOD/DRINK SPONGE STICKERS",Other,Budget
16014,"SMALL CHINESE STYLE SCISSOR",Other,Budget
16015,"MEDIUM CHINESE STYLE SCISSOR",Other,Budget
16016,"LARGE CHINESE STYLE SCISSOR",Other,Budget
16020C,"CLEAR STATIONERY BOX SET ","Gift Items",Budget
16033,"MINI HIGHLIGHTER PENS",Lighting,Budget
16043,"POP ART PUSH DOWN RUBBER ",Other,Budget
16045,"POPART WOODEN PENCILS ASST",Other,Budget
16046,"TEATIME PEN CASE & PENS",Other,Budget
16048,"TEATIME ROUND PENCIL SHARPENER ",Other,Budget
16049,"TEATIME GEL PENS ASST",Other,Budget
16052,"TEATIME PUSH DOWN RUBBER",Other,Budget
16054,"POPART RECT PENCIL SHARPENER ASST",Other,Budget
16151A,"FLOWERS HANDBAG blue and orange",Other,Budget
16156L,"WRAP CAROUSEL",Other,Budget
16156L,"WRAP, CAROUSEL",Other,Budget
16156S,"WRAP PINK FAIRY CAKES ",Other,Budget
16161G,"WRAP BAD HAIR DAY",Other,Budget
16161M,"WRAP  PINK FLOCK",Other,Budget
16161P,"WRAP ENGLISH ROSE ",Other,Budget
16161U,"WRAP SUKI AND FRIENDS",Other,Budget
16162L,"THE KING GIFT BAG","Gift Items",Budget
16162M,"THE KING GIFT BAG 25x24x12cm","Gift Items",Budget
16168M,"FUNKY MONKEY GIFT BAG MEDIUM","Gift Items",Budget
16169E,"WRAP 50'S  CHRISTMAS",Other,Budget
16169K,"WRAP FOLK ART",Other,Budget
16169M,"WRAP DAISY CARPET ",Other,Budget
16169N,"WRAP BLUE RUSSIAN FOLKART",Other,Budget
16169P,"WRAP GREEN RUSSIAN FOLKART ",Other,Budget
16202A,"PASTEL PINK PHOTO ALBUM ",Other,Budget
16202B,"PASTEL BLUE PHOTO ALBUM ",Other,Budget
16202E,"BLACK PHOTO ALBUM ",Other,Budget
16206B,"RED PURSE WITH PINK HEART",Other,Budget
16207A,"PINK STRAWBERRY HANDBAG ",Other,Budget
16207B,"PINK HEART RED HANDBAG",Other,Budget
16216,"LETTER SHAPE PENCIL SHARPENER",Other,Budget
16218,"CARTOON  PENCIL SHARPENERS",Other,Budget
